Year,Residence,Origin,Refugees
2005,Austria,Afghanistan,2991
2005,Austria,Eritrea,21
2005,Austria,Gambia,12
2005,Austria,Iran (Islamic Rep. of),1589
2005,Austria,Iraq,1224
2005,Austria,Russian Federation,6438
2005,Austria,Somalia,146
2005,Austria,Serbia and Kosovo (S/RES/1244 (1999)),5091
2005,Austria,Syrian Arab Rep.,122
2005,Belgium,Afghanistan,381
2005,Belgium,Eritrea,1
2005,Belgium,Gambia,
2005,Belgium,Iran (Islamic Rep. of),327
2005,Belgium,Iraq,231
2005,Belgium,Mali,
2005,Belgium,Russian Federation,3899
2005,Belgium,Somalia,108
2005,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1889
2005,Belgium,Syrian Arab Rep.,115
2005,Germany,Afghanistan,31055
2005,Germany,Eritrea,2746
2005,Germany,Gambia,1041
2005,Germany,Iran (Islamic Rep. of),24016
2005,Germany,Iraq,52922
2005,Germany,Mali,134
2005,Germany,Russian Federation,41732
2005,Germany,Somalia,2903
2005,Germany,Serbia and Kosovo (S/RES/1244 (1999)),99789
2005,Germany,Syrian Arab Rep.,10469
2005,Denmark,Afghanistan,6381
2005,Denmark,Eritrea,56
2005,Denmark,Iran (Islamic Rep. of),1755
2005,Denmark,Iraq,10667
2005,Denmark,Russian Federation,466
2005,Denmark,Somalia,6648
2005,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),4771
2005,Denmark,Syrian Arab Rep.,188
2005,Spain,Afghanistan,87
2005,Spain,Eritrea,5
2005,Spain,Gambia,12
2005,Spain,Iran (Islamic Rep. of),99
2005,Spain,Iraq,242
2005,Spain,Russian Federation,483
2005,Spain,Somalia,146
2005,Spain,Serbia and Kosovo (S/RES/1244 (1999)),81
2005,Spain,Syrian Arab Rep.,21
2005,Finland,Afghanistan,1604
2005,Finland,Eritrea,50
2005,Finland,Iran (Islamic Rep. of),1683
2005,Finland,Iraq,1648
2005,Finland,Russian Federation,232
2005,Finland,Somalia,1008
2005,Finland,Serbia and Kosovo (S/RES/1244 (1999)),1296
2005,Finland,Syrian Arab Rep.,39
2005,France,Afghanistan,1228
2005,France,Eritrea,63
2005,France,Gambia,44
2005,France,Iran (Islamic Rep. of),1634
2005,France,Iraq,1319
2005,France,Mali,129
2005,France,Russian Federation,5292
2005,France,Somalia,587
2005,France,Serbia and Kosovo (S/RES/1244 (1999)),6988
2005,France,Syrian Arab Rep.,213
2005,United Kingdom,Afghanistan,22532
2005,United Kingdom,Eritrea,3617
2005,United Kingdom,Gambia,202
2005,United Kingdom,Iran (Islamic Rep. of),9039
2005,United Kingdom,Iraq,22363
2005,United Kingdom,Mali,4
2005,United Kingdom,Russian Federation,1886
2005,United Kingdom,Somalia,36319
2005,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),19717
2005,United Kingdom,Syrian Arab Rep.,208
2005,Hungary,Afghanistan,2376
2005,Hungary,Eritrea,3
2005,Hungary,Gambia,
2005,Hungary,Iran (Islamic Rep. of),153
2005,Hungary,Iraq,1252
2005,Hungary,Russian Federation,129
2005,Hungary,Somalia,155
2005,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),2388
2005,Hungary,Syrian Arab Rep.,44
2005,Ireland,Afghanistan,77
2005,Ireland,Eritrea,48
2005,Ireland,Gambia,5
2005,Ireland,Iran (Islamic Rep. of),162
2005,Ireland,Iraq,257
2005,Ireland,Russian Federation,287
2005,Ireland,Somalia,309
2005,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),368
2005,Ireland,Syrian Arab Rep.,27
2005,Netherlands,Afghanistan,25086
2005,Netherlands,Eritrea,494
2005,Netherlands,Gambia,7
2005,Netherlands,Iran (Islamic Rep. of),5573
2005,Netherlands,Iraq,26618
2005,Netherlands,Mali,9
